Minnesota December-February Average Temperature
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
190002,10.6,0.1
190102,10.1,-0.4
190202,11.6,1.1
190302,8.3,-2.2
190402,2.0,-8.5
190502,6.5,-4.0
190602,13.2,2.7
190702,7.5,-3.0
190802,15.5,5.0
190902,10.3,-0.2
191002,7.1,-3.4
191102,8.9,-1.6
191202,5.4,-5.1
191302,9.4,-1.1
191402,12.7,2.2
191502,10.4,-0.1
191602,7.1,-3.4
191702,1.5,-9.0
191802,3.5,-7.0
191902,15.4,4.9
192002,5.4,-5.1
192102,16.5,6.0
192202,8.9,-1.6
192302,7.8,-2.7
192402,13.2,2.7
192502,7.7,-2.8
192602,13.3,2.8
192702,10.3,-0.2
192802,9.0,-1.5
192902,6.1,-4.4
193002,10.1,-0.4
193102,20.1,9.6
193202,15.8,5.3
193302,10.3,-0.2
193402,11.1,0.6
193502,10.9,0.4
193602,0.3,-10.2
193702,6.4,-4.1
193802,9.9,-0.6
193902,9.9,-0.6
194002,14.0,3.5
194102,12.5,2.0
194202,16.3,5.8
194302,7.2,-3.3
194402,17.0,6.5
194502,11.9,1.4
194602,8.6,-1.9
194702,11.6,1.1
194802,7.7,-2.8
194902,8.7,-1.8
195002,7.0,-3.5
195102,7.6,-2.9
195202,11.0,0.5
195302,14.3,3.8
195402,14.0,3.5
195502,11.6,1.1
195602,7.3,-3.2
195702,10.3,-0.2
195802,15.0,4.5
195902,6.2,-4.3
196002,14.9,4.4
196102,12.8,2.3
196202,7.5,-3.0
196302,7.9,-2.6
196402,12.9,2.4
196502,5.5,-5.0
196602,9.0,-1.5
196702,8.6,-1.9
196802,11.0,0.5
196902,9.3,-1.2
197002,9.1,-1.4
197102,7.6,-2.9
197202,6.3,-4.2
197302,11.5,1.0
197402,9.7,-0.8
197502,13.7,3.2
197602,13.8,3.3
197702,6.6,-3.9
197802,5.4,-5.1
197902,2.1,-8.4
198002,13.4,2.9
198102,15.0,4.5
198202,6.2,-4.3
198302,18.6,8.1
198402,10.5,0.0
198502,9.5,-1.0
198602,9.1,-1.4
198702,20.9,10.4
198802,10.9,0.4
198902,10.8,0.3
199002,13.9,3.4
199102,12.5,2.0
199202,18.8,8.3
199302,11.0,0.5
199402,6.5,-4.0
199502,15.0,4.5
199602,8.4,-2.1
199702,9.4,-1.1
199802,22.2,11.7
199902,16.7,6.2
200002,18.2,7.7
200102,8.4,-2.1
200202,21.4,10.9
200302,13.7,3.2
200402,14.1,3.6
200502,14.9,4.4
200602,17.8,7.3
200702,15.3,4.8
200802,9.8,-0.7
200902,8.0,-2.5
201002,11.2,0.7
201102,9.9,-0.6
201202,21.2,10.7
201302,13.7,3.2
201402,3.7,-6.8
201502,13.2,2.7
201602,19.1,8.6
201702,17.9,7.4
201802,10.8,0.3
201902,10.7,0.2
202002,14.9,4.4
202102,15.2,4.7
202202,9.4,-1.1
202302,14.0,3.5
202402,24.9,14.4
